Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,YouTube,Широта,Долгота,2GIS URL
Wellton towers,жилой комплекс,Новостройки,"улица Народного Ополчения, 15 ст5",,123423.0,,Хорошёво-Мнёвники район,Москва,,Москва,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+03:00,84952416938 (отдел продаж - пн-пт 9:00-21:00; сб 10:00-17:00; вс 11:00-17:00),84999678523 (отдел продаж - пн-пт 9:00-21:00; сб 10:00-17:00; вс 11:00-17:00),84957950888 (отдел продаж - пн-пт 9:00-21:00; сб 10:00-17:00; вс 11:00-17:00),,,,,,https://vk.com/krost_ru,,55.7736,37.473727000000004,https://2gis.com/firm/70000001025514253
West garden,жилой комплекс,Новостройки,"проспект Генерала Дорохова, 39 к1г",Дом сдан,,,Раменки район,Москва,,Москва,Россия,,+03:00,84952909330 (единый номер - пн-вс 10:00-20:00),,,,http://garden-west.ru,,,,,,55.717414,37.497652,https://2gis.com/firm/70000001041463349
Вереск,жилой комплекс,Новостройки,"3-я Хорошёвская улица, к2 стр",,123298.0,,Хорошёво-Мнёвники район,Москва,,Москва,Россия,,+03:00,84954315238 (отдел продаж - пн-вс 9:00-21:00),,,,http://vereck.ru/?utm_source=2GIS&utm_medium=static&utm_campaign=media_june_21&utm_term=object_card&utm_content=object_card,,,,,,55.784457999999994,37.495072,https://2gis.com/firm/70000001048952360
Новоданиловская 8,жилой комплекс,Новостройки,"Новоданиловская набережная, 8 стр",,117105.0,,Донской район,Москва,,Москва,Россия,,+03:00,84959671313 (единый номер: пн-пт 9:00-19:00),89253473309 (офис продаж: пн-вс 9:00-21:00),,,http://samolet.ru/project/novodanilovskaya-8,,,,,,55.696420999999994,37.624871999999996,https://2gis.com/firm/70000001042537490
Павелецкая Сити,строящийся жилой комплекс,Новостройки,"Дубининская улица, вл59 к1 стр",,115054.0,,Даниловский район,Москва,,Москва,Россия,,+03:00,,,,,http://level.ru/projects/paveletskaya-city,,,,,,55.719060999999996,37.635614000000004,https://2gis.com/firm/70000001044278088
Now,жилой комплекс,Новостройки,"проспект Лихачёва, 10 к1",,115432.0,,Даниловский район,Москва,,Москва,Россия,,+03:00,,,,,http://now-kvartal.ru,,,,,,55.690773,37.657237,https://2gis.com/firm/70000001040423931
Headliner,жилой комплекс,Новостройки,"Шмитовский проезд, 39 к8",,123290.0,,Пресненский район,Москва,,Москва,Россия,,+03:00,84959339929,,,,http://head-liner.ru,,,,https://vk.com/zhkheadliner,,55.752564,37.52667,https://2gis.com/firm/70000001027739083
Поклонная 9,жилой комплекс,Новостройки,"Поклонная, вл9",,121170.0,,Дорогомилово район,Москва,,Москва,Россия,,+03:00,84952924539 (отдел продаж),,,,http://p9.moscow,,,,,,55.734348,37.525165,https://2gis.com/firm/70000001040318321
Бадаевский,жилой комплекс,Новостройки,"набережная Тараса Шевченко, 12 стр",,121248.0,,Дорогомилово район,Москва,,Москва,Россия,,+03:00,84952369355,,,,http://badaevsky.com/?utm_source=2gis&utm_medium=kartochka&utm_campaign=media,,,,,,55.751311,37.559235,https://2gis.com/firm/70000001048159773
Вестердам,жилой комплекс,Новостройки,"Аминьевское шоссе, 4д к2",,121357.0,,Очаково-Матвеевское район,Москва,,Москва,Россия,,+03:00,84952667283 (отдел продаж - пн-вс 9:00-21:00),,,,http://westerdam.ru,,,,,,55.70004399999999,37.468003,https://2gis.com/firm/70000001038990977
Vitality,Офис продаж,,"1-я улица Машиностроения, 7 к1 стр",,115088.0,,Южнопортовый район,Москва,,Москва,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+03:00,,,,,http://vitalitydom.ru,,,,,,55.715354000000005,37.675129999999996,https://2gis.com/firm/70000001041584219
Lucky,жилой комплекс,Новостройки,"Звенигородская 2-я улица, 12 к7",,123100.0,,Пресненский район,Москва,,Москва,Россия,,+03:00,84950212577 (отдел продаж - пн-пт 9:00-21:00; сб-вс 10:00-20:00),,,,http://www.lucky.ru/?utm_source=2gis&utm_medium=banner&utm_campaign=m108&utm_content=spec_all,,,,,,55.763287,37.555303,https://2gis.com/firm/70000001038580203
Сердце Столицы,строящийся жилой комплекс,Новостройки,"Шелепихинская набережная, 34 к6",,123290.0,,Хорошёво-Мнёвники район,Москва,,Москва,Россия,,+03:00,84951266819 (отдел продаж - пн-пт 9:00-21:00; сб-вс 10:00-20:00),,,,http://donstroy.moscow/objects/serdtse-stolitsy?utm_source=2Gis&utm_medium=cpm&utm_campaign=moscowheart-2022&utm_term=kartochka_ss&utm_content=view_apartments,,,,https://vk.com/dsinv,,55.763909999999996,37.509567,https://2gis.com/firm/70000001045587392
Резиденции композиторов,жилой комплекс,Новостройки,"Павелецкая набережная, 8Б",,115114.0,,Даниловский район,Москва,,Москва,Россия,,+03:00,84951276999 (отдел продаж - пн-вс 9:00-21:00),,,,http://afi-residence.ru,,,,,,55.709464000000004,37.646255,https://2gis.com/firm/70000001037552833
Аквилон beside,строящийся жилой комплекс,Новостройки,"Рязанский проспект, вл2 ст1 стр",,109052.0,,Нижегородский район,Москва,,Москва,Россия,,+03:00,84951725102 (отдел продаж),,,,http://akvilon-beside.ru/?utm_source=2gis_map&utm_medium=affiliate&utm_campaign=akvilon_beside_2gis_map,,,,,,55.72823,37.740767,https://2gis.com/firm/70000001050234470
Verdi,жилой комплекс,Новостройки,"Верхняя Масловка, 20 ст1",,127083.0,,Савёловский район,Москва,,Москва,Россия,,+03:00,84951167376 (отдел продаж),,,,http://glincom.com/verdi,,,,,,55.795811,37.561945,https://2gis.com/firm/70000001063579694
Neva towers,жилой комплекс,Девелоперские услуги,"1-й Красногвардейский проезд, 22",,123317.0,,Пресненский район,Москва,,Москва,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,84993000303,84954612739 (отдел продаж),,,http://nevatowers.ru,,,,,,55.751217000000004,37.536356,https://2gis.com/firm/70000001023867420
High Life,жилой комплекс,Новостройки,"Летниковская, 11/10 ст22",,115114.0,,Даниловский район,Москва,,Москва,Россия,,+03:00,84951167017,,,,http://highlife.ru,,,,,,55.725312,37.644644,https://2gis.com/firm/70000001058762607
Серебряный Фонтан,жилой комплекс,Новостройки,"Новоалексеевская улица, 16 к4",,129626.0,,Алексеевский район,Москва,,Москва,Россия,,+03:00,84958467632 (отдел продаж: пн-вс 9:00-21:00),,,,http://etalonsilver.ru/?utm_source=media_2gis&utm_medium=context&utm_campaign=msk_mgcom_media_SF,,,,,,55.807066000000006,37.648996999999994,https://2gis.com/firm/70000001040861111
Mod,жилой комплекс,Новостройки,"4-я улица Марьиной Рощи, вл12/1",,129594.0,,Марьина Роща район,Москва,,Москва,Россия,,+03:00,84950239297,,,,http://www.mr-group.ru/projects/zhk-mod/?type=12&utm_source=2gis&utm_medium=fix&utm_campaign=a182|mod,,,,https://vk.com/zhk_mod,https://youtube.com/c/MRGroupOfficial,55.798193000000005,37.624568,https://2gis.com/firm/70000001053823770
Авиатика,жилой комплекс,Новостройки,"жилой комплекс Авиатика, к1",,125284.0,,Хорошёвский район,Москва,,Москва,Россия,,+03:00,84954320040,,,,http://aviatika-dom.ru,,,,,,55.776803,37.540665000000004,https://2gis.com/firm/70000001047697839
Соседи 21/19,жилой комплекс,Новостройки,"Рязанский проспект, 6а стр",,109428.0,,Рязанский район,Москва,,Москва,Россия,,+03:00,84951049177 (офис продаж - пн-вс 9:00-21:00),84951046447,,,http://sosedi2119.ru,,,,,,55.726523,37.752720000000004,https://2gis.com/firm/70000001048760267
Сады Пекина,бизнес-центр,Бизнес-центры,"Большая Садовая улица, 5 к2",,123001.0,,Пресненский район,Москва,,Москва,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+03:00,84951343525,,,,,,,,,,55.769526,37.591574,https://2gis.com/firm/70000001032429326
Царев Сад,жилой комплекс,Новостройки,"Софийская набережная, 36",дом сдан,115035.0,,Якиманка район,Москва,,Москва,Россия,,+03:00,84952807070,,,,http://tsarev-sad.ru,,,,,,55.747186,37.623908,https://2gis.com/firm/70000001044016466
River Park Towers Кутузовский,строящийся жилой комплекс,Новостройки,"Кутузовский проезд, 16а/1",,121170.0,,Дорогомилово район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,84954312984,,,,http://riverpark-kutuzovskiy.ru,,,,https://vk.com/riverparktowersofficial,,55.746155,37.521327,https://2gis.com/firm/70000001056670178
Level Нагатинская,жилой комплекс,Новостройки,"Нагатинская набережная, вл10а к А",,115533.0,,Нагатино-Садовники район,Москва,,Москва,Россия,,+03:00,,,,,http://level.ru/projects/nagatinskaya,,,,https://vk.com/levelgroupdeveloper,,55.682675,37.637623,https://2gis.com/firm/70000001056443332
Родной город. Октябрьское поле,жилой комплекс,Новостройки,"улица Берзарина, 32 к1",,123060.0,,Щукино район,Москва,,Москва,Россия,,+03:00,84951252179,84957452025 (отдел продаж - пн-вс 9:00-21:00),,,http://rg-dev.ru,,,,https://vk.com/rgdevofficial,https://youtube.com/channel/UCbSwGlLQuEyOUbkBVpNrq2Q,55.789253,37.471790000000006,https://2gis.com/firm/70000001054756372
Интонация,жилой комплекс,Новостройки,"Щукинская, вл7а к1",,123182.0,,Щукино район,Москва,,Москва,Россия,,+03:00,84953247611,,,,http://intonacia.ru,,,,,,55.808403000000006,37.480977,https://2gis.com/firm/70000001056445887
Tophills,жилой комплекс,Новостройки,"Электролитный проезд, 7 к4 стр",,115230.0,,Нагорный район,Москва,,Москва,Россия,,+03:00,,,,,http://ingrad.ru,,,,,,55.673196,37.608592,https://2gis.com/firm/70000001045090828
RiverSky,жилой комплекс,Новостройки,"улица Виктора Маслова, 12",,115280.0,,Даниловский район,Москва,,Москва,Россия,,+03:00,84959692658 (отдел продаж - пн-пт 9:00-21:00),,,,http://www.ingrad.ru/projects/riversky,,,,https://vk.com/ingrad_development,https://youtube.com/c/ingrad,55.718495,37.655876,https://2gis.com/firm/70000001038562010
Кутузов Grad II,жилой комплекс,Новостройки,"2-й переулок Петра Алексеева, 5",дом сдан,121471.0,,Можайский район,Москва,,Москва,Россия,,+03:00,84955000004 (отдел продаж - пн-вс 9:00-21:00),84999678686 (отдел продаж - пн-вс 9:00-21:00),,,http://www.ingrad.ru/projects/kutuzovgrad,,,,https://vk.com/ingrad_development,https://youtube.com/c/ingrad,55.718017,37.429959999999994,https://2gis.com/firm/70000001036247699
Lunar,жилой комплекс,Новостройки,"Ленинский проспект, вл38",,119334.0,,Гагаринский район,Москва,,Москва,Россия,,+03:00,84958447638 (отдел продаж),,,,http://lunar.moscow,,,,,,55.704381000000005,37.572346,https://2gis.com/firm/70000001054217987
